date,line,product,shift,temperature_c,vibration_mm,pressure_bar,energy_kwh,throughput_per_hr,defect_rate_pct,yield_rate,downtime_min,defect_flag
2026-01-02,A1,Motor,Day,68,2.1,42,180,91,1.8,98.2,12,0
2026-01-02,A1,Motor,Night,71,2.5,46,205,87,3.5,96.5,18,1
2026-01-03,A1,Motor,Day,69,2.3,43,192,94,2.1,97.9,10,0
2026-01-03,A1,Motor,Night,74,3.0,48,220,83,5.6,94.4,26,1
2026-01-04,A2,Valve,Day,65,1.8,39,160,96,1.4,98.6,8,0
2026-01-04,A2,Valve,Night,67,2.0,41,170,92,2.2,97.8,11,0
2026-01-05,A2,Valve,Day,66,1.9,40,165,95,1.7,98.3,9,0
2026-01-05,A2,Valve,Night,72,2.8,45,210,84,5.9,94.1,24,1
2026-01-06,A3,Pump,Day,70,2.4,44,198,90,2.8,97.2,15,0
2026-01-06,A3,Pump,Night,76,3.2,49,230,80,6.8,93.2,31,1
2026-01-07,A3,Pump,Day,71,2.6,45,202,88,3.4,96.6,17,1
2026-01-07,A3,Pump,Night,73,2.9,47,216,85,4.9,95.1,22,1
2026-01-08,A4,Sensor,Day,63,1.5,38,150,98,1.1,98.9,6,0
2026-01-08,A4,Sensor,Night,66,1.7,40,160,94,1.6,98.4,7,0
2026-01-09,A4,Sensor,Day,64,1.6,39,155,97,1.3,98.7,7,0
2026-01-09,A4,Sensor,Night,68,2.2,42,182,89,2.9,97.1,13,0
2026-01-10,A5,Brake,Day,72,2.7,47,214,86,4.7,95.3,20,1
2026-01-10,A5,Brake,Night,75,3.1,50,225,82,6.1,93.9,28,1
2026-01-11,A5,Brake,Day,70,2.5,45,205,88,3.1,96.9,16,0
2026-01-11,A5,Brake,Night,77,3.4,51,235,79,7.4,92.6,33,1
